OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
445,49653,2004/07/23,8,79,"process points, Winding Stair Mtn Embankment Failure, Field verified by NCGS,",081.52381000W,36.05748000N,49652,,WL,,,,,,
453,49661,2005/01/19,8,491,"process points, Eagles Nest II, Field verified by NCGS,",083.02839000W,35.51025000N,49660,,WL,,,,,,
454,49662,2005/01/19,8,492,"process points, Balsam Gap II, Field verified by NCGS,",083.07784000W,35.43561000N,49661,,WL,,,,,,
459,49667,2005/01/26,8,498,"process points, SMR-001, Field verified by NCGS,",083.28508000W,35.51908000N,49666,,WL,,,,,,
460,49668,2005/01/26,8,499,"process points, SMR-003, Field verified by NCGS,",083.28344000W,35.51662000N,49667,,WL,,,,,,
461,49669,2006/02/14,8,1285,"process points, mac-sm-1002, Field verified by NCGS,",083.33797000W,35.01611000N,49668,,WL,,,,,,
462,49670,2006/02/15,8,1286,"process points, mac-sm-1003, Field verified by NCGS,",083.34040000W,35.02979000N,49669,,WL,,,,,,
463,49671,2006/02/15,8,1287,"process points, mac-sm-1004, Field verified by NCGS,",083.34069279W,35.02969431N,49670,,WL,,,,,,
464,49672,2006/02/15,8,1288,"process points, mac-sm-1005, Field verified by NCGS,",083.33415000W,35.03603000N,49671,,WL,,,,,,
465,49673,2006/02/16,8,1289,"process points, mac-sm-1007, Field verified by NCGS,",083.30639000W,35.05746000N,49672,,WL,,,,,,
466,49674,2006/02/24,8,1290,"process points, mac-wb-1002, Field verified by NCGS,",083.51974000W,35.14712000N,49673,,WL,,,,,,
467,49675,2005/06/20,8,649,"process points, Hwy 221 F4/A1, Field verified by NCGS,",081.94023261W,35.94631311N,49674,,WL,,,,,,
470,49678,2005/02/24,8,570,"process points, Glenville Business Park, Field verified by NCGS,",083.12875000W,35.16968000N,49677,,WL,,,,,,
471,49679,2005/03/03,8,571,"process points, Wayah Debris Flow 2 East, Field verified by NCGS,",083.55251494W,35.16392249N,49678,,WL,,,,,,
472,49680,2005/01/19,8,490,"process points, Eagles Nest I, Field verified by NCGS,",083.02720558W,35.51111833N,49679,,WL,,,,,,
473,49681,2005/01/26,8,505,"process points, SMR-008, Field verified by NCGS,",083.25493000W,35.51638000N,49680,,WL,,,,,,
474,49682,2005/02/25,8,573,"process points, Oteen 216, Field verified by NCGS,",082.44175000W,35.58822000N,49681,,WL,,,,,,
475,49683,2005/02/25,8,574,"process points, Oteen 221, Field verified by NCGS,",082.43872000W,35.58867000N,49682,,WL,,,,,,
479,49687,2005/01/26,8,508,"process points, BBR-003, Field verified by NCGS,",083.24163000W,35.52683000N,49686,,WL,,,,,,
481,49689,2006/01/24,8,579,"process points, Whitewater Falls EF, Field verified by NCGS,",083.01610000W,35.03064000N,49688,,WL,,,,,,
482,49690,2006/01/12,8,580,"process points, Wayah DF North Slide, Field verified by Data Source 1,",083.51990000W,35.16847000N,49689,,WL,,,,,,
484,49692,2015/01/26,8,582,"process points, Lloyd Cove 2, Field verified by Data Source 1,",083.29956009W,35.05281138N,49691,,WL,,,,,,
485,49693,2006/02/15,8,583,"process points, Middle Lloyd, Field verified by NCGS,",083.34982000W,35.00294000N,49692,,WL,,,,,,
486,49694,2006/02/15,8,584,"process points, Buster Vinson, Field verified by NCGS,",083.17226000W,35.01225000N,49693,,WL,,,,,,
488,49696,2005/10/25,8,542,"process points, SRR-010, Field verified by NCGS,",082.80217000W,35.35015000N,49695,,WL,,,,,,
